,id,daynight,,,Lat,Lng
34:57.7,215,night,IERS2010 latitude +30.3157 N longitude 27.7081 E elevation 414733.3 m,,30.3157,27.7081
35:13.2,216,night,IERS2010 latitude +31.0118 N longitude 28.4798 E elevation 414844.4 m,,31.0118,28.4798
35:28.7,217,night,IERS2010 latitude +31.7033 N longitude 29.2647 E elevation 414959.2 m,,31.7033,29.2647
35:44.1,218,night,IERS2010 latitude +32.3888 N longitude 30.0622 E elevation 415077.1 m,,32.3888,30.0622
35:59.6,219,night,IERS2010 latitude +33.0679 N longitude 30.8721 E elevation 415198.0 m,,33.0679,30.8721
36:15.1,220,night,IERS2010 latitude +33.7408 N longitude 31.6956 E elevation 415321.7 m,,33.7408,31.6956
36:30.5,221,night,IERS2010 latitude +34.4070 N longitude 32.5329 E elevation 415448.0 m,,34.407,32.5329
36:46.0,222,night,IERS2010 latitude +35.0667 N longitude 33.3848 E elevation 415576.7 m,,35.0667,33.3848
37:01.5,223,night,IERS2010 latitude +35.7193 N longitude 34.2515 E elevation 415707.5 m,,35.7193,34.2515
37:16.9,224,night,IERS2010 latitude +36.3644 N longitude 35.1332 E elevation 415840.2 m,,36.3644,35.1332
37:32.4,225,night,IERS2010 latitude +37.0018 N longitude 36.0306 E elevation 415974.7 m,,37.0018,36.0306
37:47.9,226,night,IERS2010 latitude +37.6314 N longitude 36.9443 E elevation 416110.7 m,,37.6314,36.9443
38:03.3,227,night,IERS2010 latitude +38.2526 N longitude 37.8743 E elevation 416248.0 m,,38.2526,37.8743
38:19.9,228,day,IERS2010 latitude +38.8652 N longitude 38.8213 E elevation 416386.3 m,,38.8652,38.8213
38:36.5,229,day,IERS2010 latitude +39.5119 N longitude 39.8556 E elevation 416535.5 m,,39.5119,39.8556
38:53.1,230,day,IERS2010 latitude +40.1485 N longitude 40.9115 E elevation 416685.5 m,,40.1485,40.9115
39:09.7,231,day,IERS2010 latitude +40.7743 N longitude 41.9890 E elevation 416836.1 m,,40.7743,41.989
39:26.3,232,day,IERS2010 latitude +41.3880 N longitude 43.0872 E elevation 416986.8 m,,41.388,43.0872
39:42.9,233,day,IERS2010 latitude +41.9898 N longitude 44.2079 E elevation 417137.5 m,,41.9898,44.2079
39:58.3,234,night,IERS2010 latitude +42.5783 N longitude 45.3494 E elevation 417287.7 m,,42.5783,45.3494
